Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
"RT @Mippcivzla: 🗣️ ¡𝐓𝐎𝐌𝐀 𝐏𝐑𝐄𝐂𝐀𝐔𝐂𝐈𝐎́𝐍!✍️🇻🇪
 Es importante tener en cuenta las medidas de prevención del coronavirus. No podemos bajar la gua…",2021-02-09 22:26:29,1359267452950114308,Roselin_B19,,,749,0,es,Twitter for Android,,,False
"RT @SinEmbargoMX: Si la “maldición” del coronavirus hubiera llegado a México en sexenios anteriores, “ya hubiéramos doblado muertes y deuda…",2021-02-09 22:26:29,1359267452560015362,amigon771,,,64,0,es,Twitter for Android,,,False
"RT @veit_markus: Unglaublich mit welcher Frechheit, diese Daten, die höchstens (wenn überhaupt) hypothesengenerierender  Natur sind von den…",2021-02-09 22:26:29,1359267452111228930,FriedSey,,,79,0,de,Twitter for iPhone,,,False
"RT @EOrtizOspina: The vaccination numbers in Chile are truly remarkable. It's a vertical line

Maybe some backlogged reporting but still re…",2021-02-09 22:26:29,1359267451402354694,mariantosdh,,,197,0,en,Twitter for Android,,,False
"RT @Mippcivzla: 🗣️ ¡𝐓𝐎𝐌𝐀 𝐏𝐑𝐄𝐂𝐀𝐔𝐂𝐈𝐎́𝐍 ! ✍️🇻🇪 

Ya que el Coronavirus se puede transmitir fácilmente de persona a persona, es necesario adopt…",2021-02-09 22:26:28,1359267450878107659,Beverly04542511,,,465,0,es,Twitter for Android,,,False
英で新たに2種類の新型コロナ変異株、南ア・ブラジル型に類似か https://t.co/n4EtUpMH1V,2021-02-09 22:26:28,1359267447547654144,Beltro_dqx,,,0,0,ja,Twitter Web App,,,False
"RT @FerIglesias: Se sigue yendo lo mejor del país. Pero debe ser por la pandemia, claro. Porque seguro que se van a países sin coronavirus.…",2021-02-09 22:26:28,1359267447468138510,becerrajm,,,1127,0,es,Twitter for Android,,,False
Imagine in 10 years time telling your kids that you played in goal for Sunderland and coronavirus haloed at the same time 🙈 https://t.co/2hsa1HBWIv,2021-02-09 22:26:28,1359267447354904578,shaun_6992,,,0,0,en,Twitter for iPhone,,,True
"RT @Manhattanplanet: 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
Tienen menos credibilidad (Lo ABC y la OMS) que los vendedores de crecepelo del salvaje oeste.…",2021-02-09 22:26:28,1359267447153577984,TrechoEl,,,54,0,es,Twitter for Android,,,False
"RT @andykupf: I’m no scientist, but I place my trust in them

So much hate filters into erroneous equations. Some wanna believe China did t…",2021-02-09 22:26:27,1359267446708981773,TheSizzleReport,,,25,0,en,Twitter for iPad,,,False
RT @repubblica: Gli esperti dell'OMS hanno terminano la loro indagine a #Wuhan per la ricostruzione delle origini della pandemia. L’ipotesi…,2021-02-09 22:26:27,1359267446323044357,lasarina29,,,9,0,it,Twitter for Android,,,True
"RT @Nellina38303549: Il copione è sempre questo!    Se un anziano muore con l'influenza è un caso grave di Coronavirus, mentre se muore di…",2021-02-09 22:26:27,1359267446130147328,saratripodi2,,,19,0,it,Twitter for Android,,,False
