Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
"RT @ClaudiaWebbe: Did you know

250 million Indian Farmers are protesting to prevent the privatisation &amp; free market takeover of their farm…",2021-02-09 22:31:41,1359268763045134339,Jatinde62340372,,,2451,0,en,Twitter Web App,,,False
"RT @harbhajanmann: I have never witnessed collective determination, unity &amp; peaceful spirit like this in my lifetime. I urge all of India a…",2021-02-09 22:31:41,1359268762310959107,sukhiR6,,,2842,0,en,Twitter for iPhone,,,False
"RT @JeromeFosterII: We are still here! #FarmersProtest 

You think we forgot? Justice for Indian Farmers &amp; the climate crisis is still on o…",2021-02-09 22:31:41,1359268761556168705,Alexdee85612809,,,918,0,en,Twitter for iPhone,,,False
"RT @ashes_will_fly: Tiktok is good sometimes actually, I vaguely knew about the Indian Farmers Protest but he explained exactly what is goi…",2021-02-09 22:31:40,1359268756745195520,jerisarene,,,20228,0,en,Twitter for iPhone,,,False
"RT @ashes_will_fly: Tiktok is good sometimes actually, I vaguely knew about the Indian Farmers Protest but he explained exactly what is goi…",2021-02-09 22:31:38,1359268751338733570,HidaThiberius,,,20228,0,en,Twitter for iPhone,,,False
RT @rohini_sgh: An activist and a son of a farmer stands outside Sachin Tendulkar’s house and asks when @sachin_rt will tweet in favour of…,2021-02-09 22:31:31,1359268721554989057,amraj777,,,1541,0,en,Twitter for Android,,,False
"RT @ashes_will_fly: Tiktok is good sometimes actually, I vaguely knew about the Indian Farmers Protest but he explained exactly what is goi…",2021-02-09 22:31:30,1359268714978320384,spidapaul,,,20228,0,en,Twitter for iPhone,,,False
"RT @ashes_will_fly: Tiktok is good sometimes actually, I vaguely knew about the Indian Farmers Protest but he explained exactly what is goi…",2021-02-09 22:31:28,1359268706371702787,dimitribouniol,,,20228,0,en,Tweetbot for iΟS,,,False
RT @SirPentapotamia: The Green Revolution effects were uneven throughout Punjab; farmers from the Majha region had consistently low average…,2021-02-09 22:31:27,1359268703813005312,Taranvir47,,,7,0,en,Twitter for iPhone,,,False
"@agronomistag @UN @UNEP @IPBES @AgusBC3 Yes; ideology and money, I'd say. E.g., Davos' so-called stakeholder capitalism, where 'stakeholders' are not scientists, farmers and foresters, but activists and NGOs. Most likely, they won't stop until all grasslands are confiscated, rewilded and sold out as carbon offsets.",2021-02-09 22:31:27,1359268703141908481,Bondevett,,,0,0,en,Twitter for Android,1359265900264738819,854836824501399552,False
"RT @JeromeFosterII: We are still here! #FarmersProtest 

You think we forgot? Justice for Indian Farmers &amp; the climate crisis is still on o…",2021-02-09 22:31:26,1359268700252041218,Ramande55144319,,,918,0,en,Twitter for iPhone,,,False
RT @amaanbali: Farmer leader Jagtar Singh Bajwa has said that tribute march will be held at #GhazipurBorder on 13th Feb in remembrance of N…,2021-02-09 22:31:26,1359268697618083841,justiceouthere,,,121,0,en,Twitter for Android,,,False
"RT @RaviSinghKA: On January 12th, the @police_haryana barged into the Majdoor Adhikar Sanghatan (MAS) tent erected in solidarity with the p…",2021-02-09 22:31:22,1359268682124394496,shaz81,,,912,0,en,Twitter for iPhone,,,False
RT @Pun_Starr: Rakesh Tikait cried for farmers. More farmers joined him. So Modiji cried for a Congress leader.,2021-02-09 22:31:16,1359268657583382528,joseph_vengal,,,461,0,en,Twitter for Android,,,False
