Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:37:18,1359285273989951489,thnkflagnostic,,,1966,0,en,Twitter for iPad,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:37:15,1359285262606503936,Montgomery_bjm,,,1966,0,en,Twitter for iPhone,,,False
RT @BAMayer427: @krystalball We’re all getting poisoned and regulators are looking the other way. Our water is crap. Our soil is full of cr…,2021-02-09 23:37:13,1359285253400125440,elzaphan10,,,2,0,en,,,,False
RT @BAMayer427: @krystalball We’re all getting poisoned and regulators are looking the other way. Our water is crap. Our soil is full of cr…,2021-02-09 23:37:07,1359285230675263488,sar_oso,,,2,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:37:05,1359285219484987398,BeatriceSuther1,,,1966,0,en,Twitter Web App,,,False
RT @odnehlb: I made Arlo a whole bunch of baby food today with organic fruits and vegetables... can’t wait for her to try them 🥺,2021-02-09 23:36:52,1359285165013536774,elzaphan10,,,1,0,en,,,,False
I made Arlo a whole bunch of baby food today with organic fruits and vegetables... can’t wait for her to try them 🥺,2021-02-09 23:36:46,1359285142292955136,odnehlb,,,1,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:36:36,1359285098546397187,theotherlanette,,,1426,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:36:18,1359285021773807617,thegopplaybook,,,1966,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:35:50,1359284904903794689,4TurtleIsland,,,1426,0,en,Twitter Web App,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:35:50,1359284903985242113,mj_burger,,,1426,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:35:35,1359284844719710209,eallenbr112,,,1426,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:35:19,1359284776381857794,ShilzNihilz,,,1426,0,en,Twitter for Android,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:35:12,1359284747348811776,Zaion_Solaris,,,226,0,en,Twitter for Android,,,False
"RT @VoLinxx: Terrill Thomas died in April 2016 after being denied water for seven days at Milwaukee County Jail.

Jacob Chansley stormed th…",2021-02-09 23:35:04,1359284712469102592,CozyWarmth,,,15207,0,en,Twitter Web App,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:34:39,1359284606927835138,BeQuotedbyASM,,,1426,0,en,Twitter for iPhone,,,False
"@cayman2016 @CNN Childhood hunger in the US has doubled, but @GOP doesn't care about that.. this jerk gets organic food in jail and another lunatic gets to go on a planned vacation!! It's crazy!!! #LockUpSeditionists #TrumpLiedPeopleDied",2021-02-09 23:34:29,1359284564586283008,Hyacint99624698,,,0,0,en,Twitter for Android,1358943439581310979,3257180000,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:34:01,1359284448596905985,WhatSayK1,,,1966,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:33:44,1359284376060760066,Robirdie23,,,1426,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:33:39,1359284358163611652,Bebes_Scrubs,,,1966,0,en,Twitter for iPad,,,False
RT @Debbie86896: @queers4pete1 @gtconway3d And eating organic food!,2021-02-09 23:33:29,1359284313704050689,sonnyvinnie,,,5,0,en,Twitter for iPhone,,,False
"RT @VoLinxx: Terrill Thomas died in April 2016 after being denied water for seven days at Milwaukee County Jail.

Jacob Chansley stormed th…",2021-02-09 23:33:27,1359284305944477696,K4JUSTICE,,,15207,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:33:20,1359284277364609026,JHBTX2017,,,1426,0,en,Twitter for iPhone,,,False
"RT @CNNPolitics: ""QAnon Shaman"" rioter will eat organic food, while most prisons and jails have reputation for serving food that is unhealt…",2021-02-09 23:32:58,1359284183458144256,Moore_patriciat,,,361,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:32:31,1359284073013915653,Mother_Rell,,,1426,0,en,Twitter for iPhone,,,False
@Hinder_Surprise @lorac328 I am sure you won't get organic food.,2021-02-09 23:32:13,1359283994014019587,Ylucero9,,,0,0,en,Twitter Web App,1358787568310104068,1113368618107113474,False
RT @juliadeann: First a judge allows a terrorist to take a vacation to Mexico..then a judge orders that one gets organic food and now a ter…,2021-02-09 23:32:05,1359283964033159168,HelloooBetty,,,3,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:31:49,1359283896370647041,kweku76,,,1966,0,en,Twitter Web App,,,False
"RT @WinnerBrittany: LIVID: my sister #RealityWinner (whistleblower, US Air Force veteran, patriot) has politely requested but been repeated…",2021-02-09 23:31:44,1359283875671912449,JoeExecutive1,,,273,0,en,Twitter for iPhone,,,True
RT @juliadeann: First a judge allows a terrorist to take a vacation to Mexico..then a judge orders that one gets organic food and now a ter…,2021-02-09 23:31:23,1359283784521310209,elzaphan10,,,3,0,en,,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:31:23,1359283784135233539,SleSharon,,,1966,0,en,Twitter Web App,,,False
First a judge allows a terrorist to take a vacation to Mexico..then a judge orders that one gets organic food and now a terrorist is asking a judge to let him go to Peru to get married? 🤦🏻‍♀️🤬,2021-02-09 23:31:17,1359283761658163201,juliadeann,,,3,4,en,Twitter for iPhone,,,False
"RT @ReneeAlida: Only in America do we reward stupidity with Mexican  vacations,  organic food and lawsuit settlements for using glue on you…",2021-02-09 23:31:05,1359283711867457536,sailorbill007,,,218,0,en,Twitter for Android,,,False
